,State,Number of Fires
0,AC,285.9623430962343
1,AM,491.4937238493724
2,AP,105.08786610878661
3,MA,1570.2050209205022
4,MT,2738.8702928870293
5,PA,2417.744769874477
6,RO,775.6778242677824
7,RR,123.23849372384937
8,TO,888.836820083682
