year,precipitation
1998,16444.3
1999,18499.699999999993
2000,18510.7
2001,16345.500000000007
2002,15949.300000000003
2003,15834.600000000002
2004,17218.5
2005,16782.100000000002
2006,19356.999999999996
2007,17513.299999999992
2008,17670.100000000002
2009,17132.600000000002
2010,16600.7
2011,19180.1
2012,16528.799999999996
2013,18216.100000000002
2014,17713.899999999998
2015,15211.1
2016,16019.999999999998
2017,15714.8
