,state,precipitation,Unnamed: 0,Number of Fires
0,AC,166.02217573221753,0,285.96234309623435
1,AM,193.74476987447704,1,491.49372384937243
2,AP,207.71344537815108,2,105.0878661087866
3,MA,174.10083682008386,3,1570.2050209205024
4,MT,120.52587719298252,4,2738.8702928870293
5,PA,275.70251046025106,5,2417.744769874477
6,RR,150.46694560669462,7,123.23849372384936
7,TO,150.9564853556485,8,888.8368200836819
